no,plot,block,replanted,species,mycorrhiza,substrate,soilType,acidbrickRatioTreat,brickRatio,acid,conf.low,conf.high,rgr13,rgr12,rgr23,sla1,sla2,sla3,abstransRatio,srl,rtd,branchingIntensity,rmf,lmf,smf,rootshootRatio
11,CY30Tmyac,C,0,Tilia,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,11,11,4.985632278401105e-4,0.0012653751489202804,8.227174113121258e-4,204.375,186,163.75,-0.01492537313433004,-1174.9999999998686,-92.49999999998964,6.097872340425532,0.5479303798591275,0.11851746713269343,0.33355215300817914,1.2120486656200942
12,CY30Tnoac,C,0,Tilia,Control,substrate_1,rich,Acid_30,30,Acid,12,12,0.0014444576213620316,0.003666096245522113,0.0023836102797740945,205.65217391304347,194.16666666666669,184.70588235294116,0.3632478632478631,91.29411764705885,4.35294117647059,5.248711340206185,0.6125855443595912,0.1019236021986163,0.28549085344179237,1.5812149893760865
13,DY30Amyac,D,1,Acer,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,13,13,0.0015564245241782187,0.0042586830538864145,0.002452881052238465,170.4301075268817,167.72727272727272,185.3225806451613,0.5815217391304329,41.86915887850477,3.710280373831784,3.3125,0.6228308226880627,0.10983091022956075,0.26733826708237657,1.651330119621496
14,DY30Anoac,D,0,Acer,Control,substrate_1,rich,Acid_30,30,Acid,14,14,7.813971535425521e-4,0.0019832199494802818,0.0012894433593794057,166.45161290322582,164.69387755102042,200,0.7747035573122533,34.336734693877524,3.1173469387755075,3.5052005943536404,0.6098643734517151,0.1291006744834041,0.2610349520648809,1.5632111808077476
15,DY30Tmyac,D,0,Tilia,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,15,15,0.0015417607448889102,0.003913055803603919,0.002544177624958025,221.33333333333337,220.62499999999997,256.3636363636364,1.0724637681159406,61.0810810810812,3.4594594594594668,5.535398230088496,0.4734565395340171,0.10860957121846365,0.4179338892475194,0.8991784630940344
16,DY30Tnoac,D,0,Tilia,Control,substrate_1,rich,Acid_30,30,Acid,16,16,0.001575758547061334,0.003999343703682842,0.0026002800052213533,203.07692307692307,206.9230769230769,208,0.850162866449512,49.157088122605344,3.0766283524904203,5.173811379579112,0.4493258085228617,0.10036835524314827,0.45030583623399006,0.8159558146670759
17,EY30Amyac,E,1,Acer,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,17,17,9.035312772921352e-4,0.002472238955044738,0.001423939751492199,158.63013698630138,159.63636363636363,160,2.1890243902439006,30.83565459610028,3.295264623955432,2.5248419150858177,0.5127159058044588,0.16361767981638398,0.3236664143791574,1.052190933198636
18,EY30Anoac,E,0,Acer,Control,substrate_1,rich,Acid_30,30,Acid,18,18,0.001366595274836161,0.003468478224720039,0.002255123651408082,166.83333333333334,163.59375,163.7037037037037,1.0051282051282069,45.45918367346935,2.1173469387755084,4.645342312008979,0.5436548965809422,0.16936415310358044,0.2869809503154772,1.191324049513705
19,EY30Tmyac,E,0,Tilia,Mycorrhiza,substrate_1,rich,Acid_30,30,Acid,19,19,0.0013043433072950107,0.003310480024493315,0.0021523969063843465,211.33333333333334,188.23529411764704,210,0.17406962785114044,48.89655172413792,2.7448275862068963,6.940761636107193,0.5629997558444729,0.10319385948849416,0.33380638466703294,1.2883282409428198
20,EY30Tnoac,E,0,Tilia,Control,substrate_1,rich,Acid_30,30,Acid,20,20,0.001329896046653086,0.003375333987972778,0.0021945634409434316,243.33333333333334,218.8235294117647,226.15384615384613,0.3791390728476822,46.50655021834059,9.14847161572052,7.106103286384976,0.5843413469325908,0.08334073559302552,0.33231791747438383,1.4058202388434946
21,AY5Amyac,A,0,Acer,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,21,21,0.0014564679193451078,0.003696578903990029,0.0024034293934069445,165.3846153846154,165.22727272727272,183.23529411764704,1.9452054794520548,42.887323943662,3.2605633802816927,3.032840722495895,0.5133115366651098,0.16138692749402422,0.325301535840866,1.0547024952015356
22,AY5Anoac,A,1,Acer,Control,substrate_2,rich,Acid_5,5,Acid,22,22,0.001107664810425134,0.003030788376991471,0.0017456484291505647,188.84057971014497,165.3658536585366,185.0704225352113,0.8683385579937309,42.16606498194944,2.8411552346570383,6.181506849315069,0.5928706808572678,0.13984059872673374,0.26728872041599844,1.4562220232766336
23,AY5Tmyac,A,0,Tilia,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,23,23,0.001558941372975058,0.003956660984670392,0.002572528696746827,232,236.66666666666666,232.72727272727275,0.28251121076233277,115.55555555555526,5.2698412698412564,6.539835164835165,0.5335926792463278,0.10369221823820138,0.3627151025154707,1.144048679133274
24,AY5Tnoac,A,0,Tilia,Control,substrate_2,rich,Acid_5,5,Acid,24,24,9.411085714183557e-4,0.0023885744720237613,0.0015529954164394775,173.92857142857142,166,176,0.3452380952380945,91.49425287356348,4.011494252873574,5.2701005025125625,0.5058508080381213,0.11575322170895083,0.37839597025292787,1.0236803302860513
25,BY5Amyac,B,1,Acer,Mycorrhiza,substrate_2,rich,Acid_5,5,Acid,25,25,9.400303890936915e-4,0.0025721076904035977,0.0014814613199144397,169.47368421052633,183.92857142857142,192.0689655172414,NA,NA,NA,NA,NA,NA,NA,NA
