no	plot	block	replanted	species	mycorrhiza	substrate	soilType	acidbrickRatioTreat	brickRatio	acid	soilMoisture1	soilMoisture2	soilMoisture3	soilMoisture4	soilMoisture5	soilMoisture6	comment	conf.low	conf.high	rgr13	rgr12	rgr23	sla1	sla2	sla3	abstransRatio	srl	rtd	rmf	lmf	smf	rootshootRatio
68	BZ5Tnoac	B	0	Tilia	Control	substrate_5	poor	Acid_5	5	Acid	19.7	17.4	21.8	5.6	2.6	7.7	NA	68	68	0.00178474046780162	0.00452974890469216	0.00294513709704367	163.280116110305	179.166666666667	200	1.73684210526316	51.2424242424242	2.5	0.493800465337436	0.0913894922879532	0.414810042374611	0.975505569491695
70	CZ5Anoac	C	0	Acer	Control	substrate_5	poor	Acid_5	5	Acid	18.4	19.9	18.6	5.4	8.7	8	balls	70	70	0.00090713393268279	0.00230234536175469	0.00149693125993944	137.924991237294	138.125	134.561403508772	0.6975	34.8387096774194	4.47311827956989	0.626249650987821	0.126865224145459	0.246885124866719	1.67558278579003
72	CZ5Tnoac	C	0	Tilia	Control	substrate_5	poor	Acid_5	5	Acid	19.5	21.8	22.4	6.2	3.1	5.5	NA	72	72	0.000967869160204229	0.00245649400986617	0.00159715511595539	241.769547325103	212.222222222222	213.333333333333	0.355408388520972	51.5527950310559	2.46583850931677	0.629186179338136	0.0868175131407568	0.283996307521107	1.69677111337194
74	DZ5Anoac	D	0	Acer	Control	substrate_5	poor	Acid_5	5	Acid	18	18.7	21.6	10.9	9.1	10.8	NA	74	74	0.000716776481204865	0.00181920987349278	0.0011828078329423	144.682963146792	135.733333333333	138.101265822785	0.819047619047619	31.5116279069767	2.79457364341085	0.558768244777298	0.158364361693107	0.282867393529595	1.26638266208939
76	DZ5Tnoac	D	0	Tilia	Control	substrate_5	poor	Acid_5	5	Acid	13.4	16.2	14.3	7.9	10.4	8.8	balls	76	76	0.000772193879963198	0.00195986164099355	0.0012742563319534	193.501805054152	189.090909090909	193.636363636364	0.441441441441441	61.0204081632654	4.31972789115647	0.511683793112937	0.0700660700691275	0.418250136817936	1.04785339068477
78	EZ5Anoac	E	0	Acer	Control	substrate_5	poor	Acid_5	5	Acid	22.2	17.4	23.3	6.8	7.1	7.3	balls	78	78	0.00259533359745814	0.00658706951093994	0.00428275897531077	157.176594069798	143.010752688172	158.888888888889	1.32122905027933	24.5243128964059	4.07822410147992	0.438824327460326	0.132749602813331	0.428426069726343	0.781973184037663
80	EZ5Tnoac	E	0	Tilia	Control	substrate_5	poor	Acid_5	5	Acid	17.7	20	17.4	7.1	7.7	7.1	NA	80	80	0.00151505023769103	0.00384526337500929	0.00250010056891063	175.407925407925	198.571428571429	206.923076923077	0.532388663967611	85.7794676806084	3.90874524714829	0.529352640863304	0.105617554028656	0.36502980510804	1.12473305243716
81	AY30Anono	A	0	Acer	Control	substrate_3	rich	Control_30	30	Control	17.6	15.7	16.4	13.5	18.5	12.6	NA	81	81	0.00126254068869187	0.00320438316097339	0.00208341520006751	143.236074270557	148.173913043478	134.246575342466	0.56439393939394	61.1409395973154	5.04697986577181	0.553721598392242	0.174944879662059	0.271333521945699	1.24075374563817
82	AY30Tnono	A	0	Tilia	Control	substrate_3	rich	Control_30	30	Control	19.8	20.7	19.8	12.6	12.9	12.2	NA	82	82	0.00160467010052468	0.00407272248339687	0.00264798917648418	198.711063372717	215	168	0.242857142857143	73.9869281045752	3.34640522875817	0.516397249555789	0.112142463451391	0.371460286992819	1.06781288791566
83	BY30Anono	B	1	Acer	Control	substrate_3	rich	Control_30	30	Control	19.4	20	19.4	11.9	12.6	6.5	NA	83	83	0.00165625254745811	0.00420364097642901	0.00273310932743088	185.939684441781	186.491228070175	184.605263157895	1.60696517412935	45.2941176470588	2.92879256965944	0.530216031994135	0.158777869447785	0.311006098558079	1.12863798704071
84	BY30Tnono	B	0	Tilia	Control	substrate_3	rich	Control_30	30	Control	21.7	23.9	28.1	14	15.6	14.2	NA	84	84	0.00205297092531352	0.00521052946805115	0.00338776474247849	176.296296296296	191	198.125	0.175799086757991	92.4675324675325	3.77922077922078	0.52222283416864	0.117952672064034	0.359824493767326	1.09302593659942
85	CY30Anono	C	1	Acer	Control	substrate_3	rich	Control_30	30	Control	17.5	23.9	20.1	14.8	17.8	17.9	NA	85	85	0.00137718114330619	0.00349534561915212	0.00227259220467841	170.902065685837	185	170	1.56129032258065	29.7107438016529	2.97107438016529	0.52403745677324	0.167842636597194	0.308119906629566	1.10100566574117
86	CY30Tnono	C	0	Tilia	Control	substrate_3	rich	Control_30	30	Control	30.5	23	24.3	12.4	10.2	16	NA	86	86	0.00207880731013724	0.00527610333605484	0.00343039934216993	227.638640429338	211.818181818182	196.315789473684	1.4140127388535	77.972972972973	2.7027027027027	0.440091915965555	0.112860336807563	0.447047747226882	0.786007433210199
87	DY30Anono	D	0	Acer	Control	substrate_3	rich	Control_30	30	Control	27.2	28.9	20.7	12.1	12.3	16.4	NA	87	87	0.00210708545166832	0.00534787448874514	0.0034770632718343	181.255799566966	173.75	185	1.42857142857143	39.0769230769231	3.0923076923077	0.54287891980979	0.144890269837453	0.312230810352757	1.18760421108538
88	DY30Tnono	D	0	Tilia	Control	substrate_3	rich	Control_30	30	Control	18.2	22.8	21.7	11	8	10.4	NA	88	88	0.00174582657096449	0.00443098374261096	0.00288092229201561	174.840085287847	190.952380952381	197.368421052632	0.484374999999998	56.6129032258066	2.69354838709678	0.549421860246091	0.119236596893002	0.331341542860907	1.21937087437523
89	EY30Anono	E	0	Acer	Control	substrate_3	rich	Control_30	30	Control	25.7	24.3	23.7	11.4	16.2	11.7	NA	89	89	0.00155046085645237	0.0039351370650177	0.00255853434615992	161.247511612475	157.826086956522	162.439024390244	1.46641791044776	36.5394402035624	3.04325699745547	0.623791203455377	0.146134709965974	0.230074086578649	1.65809839957155
